full_name	name	state	country	latitude	longitude	timezone
Lucknow, Uttar Pradesh, India	Lucknow	Uttar Pradesh	India	26.83928	80.92313	Asia/Kolkata
Bandung, West Java, Indonesia	Bandung	West Java	Indonesia	-6.92222	107.60694	Asia/Jakarta
Medan, North Sumatra, Indonesia	Medan	North Sumatra	Indonesia	3.58333	98.66667	Asia/Jakarta
Ouagadougou, Centre, Burkina Faso	Ouagadougou	Centre	Burkina Faso	12.36566	-1.53388	Africa/Ouagadougou
Fortaleza, Ceara, Brazil	Fortaleza	Ceara	Brazil	-3.71722	-38.54306	America/Fortaleza
Cali, Valle del Cauca Department, Colombia	Cali	Valle del Cauca Department	Colombia	3.43722	-76.5225	America/Bogota
Algiers, Algeria	Algiers	Algiers	Algeria	36.73225	3.08746	Africa/Algiers
Nanchang, Jiangxi, China	Nanchang	Jiangxi	China	28.68396	115.85306	Asia/Shanghai
Hohhot, Inner Mongolia, China	Hohhot	Inner Mongolia	China	40.81056	111.65222	Asia/Shanghai
Rome, Lazio, Italy	Rome	Lazio	Italy	41.89193	12.51133	Europe/Rome
Mashhad, Razavi Khorasan, Iran	Mashhad	Razavi Khorasan	Iran	36.29807	59.60567	Asia/Tehran
Houston, Texas, United States	Houston	Texas	United States	29.76328	-95.36327	America/Chicago
Shaoxing, Zhejiang, China	Shaoxing	Zhejiang	China	30.00237	120.57864	Asia/Shanghai
Nantong, Jiangsu, China	Nantong	Jiangsu	China	32.03028	120.87472	Asia/Shanghai
Queens, New York, United States	Queens	New York	United States	40.68149	-73.83652	America/New_York
Kowloon, NA, Hong Kong	Kowloon	NA	Hong Kong	22.31667	114.18333	Asia/Hong_Kong
Nagpur, Maharashtra, India	Nagpur	Maharashtra	India	21.14631	79.08491	Asia/Kolkata
Yantai, Shandong, China	Yantai	Shandong	China	37.47649	121.44081	Asia/Shanghai
Maracaibo, Zulia, Venezuela	Maracaibo	Zulia	Venezuela	10.66663	-71.61245	America/Caracas
Lubumbashi, Haut-Katanga, Democratic Republic of the Congo	Lubumbashi	Haut-Katanga	Democratic Republic of the Congo	-11.66089	27.47938	Africa/Lubumbashi
Manaus, Amazonas, Brazil	Manaus	Amazonas	Brazil	-3.10194	-60.025	America/Manaus
Brasilia, Federal District, Brazil	Brasilia	Federal District	Brazil	-15.77972	-47.92972	America/Sao_Paulo
Zhuhai, Guangdong, China	Zhuhai	Guangdong	China	22.27694	113.56778	Asia/Shanghai
Santo Domingo, Nacional, Dominican Republic	Santo Domingo	Nacional	Dominican Republic	18.47186	-69.89232	America/Santo_Domingo
Perth, Western Australia, Australia	Perth	Western Australia	Australia	-31.95224	115.8614	Australia/Perth
Nagoya, Aichi, Japan	Nagoya	Aichi	Japan	35.18147	136.90641	Asia/Tokyo
Havana, Cuba	Havana	Havana	Cuba	23.13302	-82.38304	America/Havana
Baotou, Inner Mongolia, China	Baotou	Inner Mongolia	China	40.6516	109.84389	Asia/Shanghai
Paris, Ile-de-France, France	Paris	Ile-de-France	France	48.85341	2.3488	Europe/Paris
Coimbatore, Tamil Nadu, India	Coimbatore	Tamil Nadu	India	11.00555	76.96612	Asia/Kolkata
Port Harcourt, Rivers State, Nigeria	Port Harcourt	Rivers State	Nigeria	4.77742	7.0134	Africa/Lagos
Mbuji-Mayi, Kasai-Oriental, Democratic Republic of the Congo	Mbuji-Mayi	Kasai-Oriental	Democratic Republic of the Congo	-6.13603	23.58979	Africa/Lubumbashi
Aleppo, Syria	Aleppo	Aleppo	Syria	36.20124	37.16117	Asia/Damascus
Kunshan, Jiangsu, China	Kunshan	Jiangsu	China	31.37762	120.95431	Asia/Shanghai
Al Mawsil al Jadidah, Nineveh, Iraq	Al Mawsil al Jadidah	Nineveh	Iraq	36.33271	43.10555	Asia/Baghdad
Depok, West Java, Indonesia	Depok	West Java	Indonesia	-6.4	106.81861	Asia/Jakarta
Weifang, Shandong, China	Weifang	Shandong	China	36.71	119.10194	Asia/Shanghai
Zunyi, Guizhou, China	Zunyi	Guizhou	China	27.68667	106.90722	Asia/Shanghai
Al Basrah al Qadimah, Basra, Iraq	Al Basrah al Qadimah	Basra	Iraq	30.50316	47.81507	Asia/Baghdad
La Paz, La Paz Department, Bolivia	La Paz	La Paz Department	Bolivia	-16.5	-68.15	America/La_Paz
Lianyungang, Jiangsu, China	Lianyungang	Jiangsu	China	34.59845	119.21556	Asia/Shanghai
Medellin, Antioquia, Colombia	Medellin	Antioquia	Colombia	6.25184	-75.56359	America/Bogota
Brazzaville, Republic of the Congo	Brazzaville	Brazzaville	Republic of the Congo	-4.26613	15.28318	Africa/Brazzaville
Tashkent, Uzbekistan	Tashkent	Tashkent	Uzbekistan	41.26465	69.21627	Asia/Tashkent
Ganzhou, Jiangxi, China	Ganzhou	Jiangxi	China	25.84664	114.9326	Asia/Shanghai
Almaty, Kazakhstan	Almaty	Almaty	Kazakhstan	43.25	76.91667	Asia/Almaty
Khartoum, Sudan	Khartoum	Khartoum	Sudan	15.55177	32.53241	Africa/Khartoum
